journal_topic,device_type,material_system,application_area,temperature_K,bias_voltage_V,quantum_well_width_nm,bandgap_eV,effective_mass_me,barrier_height_eV,photon_wavelength_nm,photon_energy_eV,is_infrared,spin_polarization,quantum_efficiency,performance_metric,meets_spec,device_complexity_index
Colloidal Quantum Dots,Spintronic MRAM Cell,GaN/AlGaN,Optical Communication,288.25,2.82,1.247,3.316,0.249,0.301,317.5,3.906,0,0.684,0.4,18.428,0,0.6
Spintronics Devices,Avalanche Photodiode,InGaAs/InP,Optical Communication,310.89,3.45,3.939,0.868,0.291,0.317,1395.5,0.889,1,-0.25,0.636,22.246,1,0.34
k·p Perturbation Theory,2D-TMD FET,WSe2,Terahertz Emission,280.49,1.992,0.5,1.434,0.222,0.338,952.8,1.301,1,-0.018,0.385,0,0,0.021
Quantum Cascade Laser,2D-TMD FET,CdSe/CdS QDs,Display Technology,312.75,2.3,0.5,1.602,0.35,0.324,777.9,1.594,1,0.044,0.497,10.313,0,0.179
k·p Perturbation Theory,Quantum Cascade Laser,GaN/AlGaN,Infrared Sensing,313.8,2.653,4.194,3.16,0.336,0.274,342.3,3.623,0,-0.083,0.31,11.943,0,0.74
Colloidal Quantum Dots,Quantum Well Laser,ZnSe-based,Terahertz Emission,227.07,1.571,3.463,2.531,0.191,0.329,474.2,2.615,0,0.068,0.223,9.082,0,0.493
Spintronics Devices,Spintronic MRAM Cell,WSe2,Optical Communication,329.76,2.577,0.5,1.655,0.42,0.4,669.4,1.852,0,0.719,0.325,17.599,0,0.521
k·p Perturbation Theory,Spintronic MRAM Cell,InGaAs/InP,Infrared Sensing,223.81,3.119,1.033,0.846,0.31,0.29,1415.7,0.876,1,0.944,0.275,6.553,0,0.67
Quantum Cascade Laser,Quantum Well Laser,ZnSe-based,Display Technology,284.6,2.6,4.173,2.572,0.127,0.332,550,2.254,0,0.133,0.495,16.291,0,0.607
Colloidal Quantum Dots,Spintronic MRAM Cell,ZnSe-based,Infrared Sensing,325.63,2.729,1.472,2.595,0.295,0.281,470.7,2.634,0,0.537,0.438,12.856,0,0.522
Schrodinger Cat Paradox,2D-TMD FET,CdSe/CdS QDs,Display Technology,292.07,2.98,1.068,1.972,0.328,0.235,723.4,1.714,1,-0.273,0.487,18.787,0,0.323
k·p Perturbation Theory,Quantum Well Laser,GaAs/AlGaAs,Terahertz Emission,263.35,2.344,5.843,1.501,0.397,0.352,821.5,1.509,1,0.358,0.418,13.368,0,0.653
Spintronics Devices,QD-Based LCD Pixel,MoS2,Optical Communication,272.66,3.691,3.008,2.012,0.266,0.244,614.4,2.018,0,-0.028,0.459,23.791,0,0.351
Colloidal Quantum Dots,Quantum Well Laser,WSe2,Optical Communication,325.67,4.436,3.827,1.821,0.383,0.339,712.8,1.74,1,-0.016,0.567,25.197,1,0.381
Quantum Cascade Laser,QD-Based LCD Pixel,GaN/AlGaN,Terahertz Emission,251.96,2.536,4.064,3.022,0.319,0.303,300,4.133,0,-0.069,0.267,12.856,0,0.667
k·p Perturbation Theory,Quantum Cascade Laser,MoS2,Non-Volatile Memory,328.22,3.485,2.532,1.651,0.168,0.27,761.4,1.629,1,-0.098,0.388,17.494,0,0.421
Photoelectric Effect,Quantum Well Laser,MoS2,Non-Volatile Memory,298.62,2.76,8.222,1.586,0.158,0.267,779.5,1.591,1,0.309,0.488,18.108,0,0.683
Photoelectric Effect,2D-TMD FET,MoS2,Visible LEDs,270.19,3.365,1.188,1.698,0.412,0.249,804.6,1.541,1,0.277,0.529,21,1,0.287
Quantum Cascade Laser,Quantum Well Laser,InGaAs/InP,Visible LEDs,285.42,4.566,4.571,0.861,0.42,0.135,1487.6,0.834,1,0.089,0.735,32.137,1,0.353
Colloidal Quantum Dots,Spintronic MRAM Cell,ZnSe-based,Display Technology,274.57,3.509,1.263,2.867,0.332,0.338,375.8,3.3,0,0.469,0.452,25.84,1,0.607
Colloidal Quantum Dots,Avalanche Photodiode,MoS2,Non-Volatile Memory,321.66,1.227,6.816,1.38,0.45,0.323,960.6,1.291,1,0.124,0.348,6.345,0,0.684
Quantum Cascade Laser,2D-TMD FET,GaAs/AlGaAs,Optical Communication,318.31,3.454,1.396,1.243,0.406,0.385,984.6,1.259,1,0.015,0.594,20.947,1,0.38
Spintronics Devices,QD-Based LCD Pixel,MoS2,Non-Volatile Memory,257.02,4.233,1.395,2.041,0.368,0.247,562.4,2.205,0,-0.038,0.471,24.748,0,0.266
Quantum Cascade Laser,QD-Based LCD Pixel,WSe2,Display Technology,289.91,2.778,4.403,1.716,0.209,0.49,732.5,1.693,1,0.068,0.507,18.037,0,0.437
k·p Perturbation Theory,Quantum Cascade Laser,CdSe/CdS QDs,Optical Communication,278.42,3.996,3.489,1.575,0.473,0.262,777.2,1.595,1,-0.088,0.621,29.908,1,0.439
Spintronics Devices,Quantum Cascade Laser,InGaAs/InP,Visible LEDs,332.34,2.31,4.161,1.153,0.354,0.212,1152,1.076,1,0.05,0.35,5.746,0,0.33
Single Quantum Well,Spintronic MRAM Cell,ZnSe-based,Display Technology,266.25,1.514,0.5,2.794,0.261,0.201,460.8,2.691,0,0.3,0.366,6.068,0,0.428
k·p Perturbation Theory,QD-Based LCD Pixel,GaN/AlGaN,Non-Volatile Memory,340.11,3.141,3.526,3.115,0.233,0.127,408.3,3.037,0,0.121,0.496,22.675,0,0.568
Photoelectric Effect,2D-TMD FET,WSe2,Optical Communication,299.17,1.244,0.674,1.78,0.326,0.453,741.7,1.672,1,-0.124,0.388,5.655,0,0.075
k·p Perturbation Theory,Quantum Well Laser,InGaAs/InP,Optical Communication,270.95,2.76,4.15,0.745,0.133,0.437,1719.4,0.721,1,0.142,0.434,11.029,0,0.374
Schrodinger Cat Paradox,Spintronic MRAM Cell,GaN/AlGaN,Non-Volatile Memory,283.07,4.287,0.858,2.782,0.37,0.36,484.9,2.557,0,0.91,0.528,40.375,1,0.699
Single Quantum Well,Quantum Well Laser,MoS2,Visible LEDs,279.96,1.09,6.888,2.224,0.205,0.21,628.4,1.973,0,-0.115,0.345,5.562,0,0.793
Colloidal Quantum Dots,Avalanche Photodiode,CdSe/CdS QDs,Terahertz Emission,268.13,1.721,6.973,2.301,0.337,0.481,569.3,2.178,0,-0.106,0.349,8.569,0,0.717
Colloidal Quantum Dots,QD-Based LCD Pixel,CdSe/CdS QDs,Non-Volatile Memory,302.37,1.968,3.047,2.247,0.248,0.265,560.3,2.213,0,-0.214,0.431,15.193,0,0.415
k·p Perturbation Theory,Avalanche Photodiode,GaN/AlGaN,Terahertz Emission,269.3,2.937,4.096,3.173,0.274,0.273,452.8,2.739,0,0.203,0.344,12.796,0,0.656
Colloidal Quantum Dots,QD-Based LCD Pixel,MoS2,Infrared Sensing,245.49,2.634,2.627,1.599,0.224,0.444,770.8,1.609,1,-0.194,0.347,8.622,0,0.245
Spintronics Devices,Quantum Cascade Laser,CdSe/CdS QDs,Visible LEDs,290.51,4.399,5.659,2.383,0.284,0.366,522,2.376,0,-0.14,0.649,31.922,1,0.572
Single Quantum Well,Avalanche Photodiode,MoS2,Optical Communication,254.93,3.954,3.507,1.631,0.489,0.52,846.2,1.465,1,0.251,0.45,18.643,0,0.518
Photoelectric Effect,Quantum Cascade Laser,MoS2,Non-Volatile Memory,281.2,3.495,3.368,1.857,0.439,0.325,749,1.656,1,-0.114,0.59,16.572,0,0.418
Photoelectric Effect,Spintronic MRAM Cell,GaAs/AlGaAs,Infrared Sensing,277.27,3.146,1.489,1.072,0.335,0.26,1156.2,1.073,1,0.684,0.616,25.228,1,0.52
Single Quantum Well,QD-Based LCD Pixel,GaAs/AlGaAs,Visible LEDs,278.22,3.393,2.462,0.992,0.297,0.239,1227.5,1.01,1,-0.202,0.596,21.543,1,0.175
Photoelectric Effect,Spintronic MRAM Cell,WSe2,Visible LEDs,350.02,2.138,0.981,1.764,0.384,0.115,776.2,1.597,1,0.691,0.226,4.455,0,0.492
Quantum Cascade Laser,2D-TMD FET,ZnSe-based,Infrared Sensing,301.41,3.857,0.5,2.638,0.413,0.272,510,2.431,0,0.169,0.598,31.637,1,0.332
Colloidal Quantum Dots,2D-TMD FET,ZnSe-based,Optical Communication,306.13,1.888,1.352,2.402,0.217,0.414,532,2.331,0,0.148,0.501,14.076,0,0.449
k·p Perturbation Theory,QD-Based LCD Pixel,InGaAs/InP,Non-Volatile Memory,255.59,3.835,4.941,0.881,0.292,0.36,1391.3,0.891,1,0.108,0.41,13.19,0,0.465
Quantum Cascade Laser,Spintronic MRAM Cell,CdSe/CdS QDs,Terahertz Emission,283.65,4.186,1.361,2.636,0.118,0.302,487,2.546,0,1,0.623,41.594,1,0.808
k·p Perturbation Theory,Avalanche Photodiode,MoS2,Infrared Sensing,305.38,3.211,6.193,2.078,0.412,0.201,595.7,2.082,0,-0.105,0.668,30.601,1,0.746
k·p Perturbation Theory,Quantum Cascade Laser,GaN/AlGaN,Visible LEDs,274.39,2.824,2.731,2.923,0.507,0.323,391,3.171,0,-0.163,0.452,11.149,0,0.515
k·p Perturbation Theory,Quantum Well Laser,ZnSe-based,Infrared Sensing,322.7,3.4,4.354,2.802,0.308,0.401,449,2.762,0,0.258,0.673,34.755,1,0.762
Quantum Cascade Laser,Quantum Cascade Laser,WSe2,Display Technology,269.93,0.138,2.585,1.878,0.087,0.343,673.7,1.841,0,0.153,0.201,0,0,0.331
Single Quantum Well,2D-TMD FET,GaAs/AlGaAs,Visible LEDs,292.84,3.302,0.886,1.624,0.361,0.317,744.6,1.665,1,-0.139,0.542,17.835,0,0.183
k·p Perturbation Theory,Quantum Cascade Laser,GaAs/AlGaAs,Terahertz Emission,285.35,2.887,5.158,1.331,0.21,0.22,976.6,1.27,1,0.008,0.575,13.667,0,0.496
Schrodinger Cat Paradox,Quantum Well Laser,WSe2,Infrared Sensing,304.11,2.949,4.153,1.707,0.234,0.387,790.9,1.568,1,-0.06,0.457,18.084,0,0.342
Single Quantum Well,Spintronic MRAM Cell,GaN/AlGaN,Optical Communication,283.99,3.707,0.5,3.09,0.363,0.05,449.8,2.757,0,0.665,0.496,24.623,0,0.663
Photoelectric Effect,2D-TMD FET,InGaAs/InP,Non-Volatile Memory,293.23,2.925,0.5,0.883,0.325,0.338,1390.4,0.892,1,0.036,0.551,11.836,0,0.109
Colloidal Quantum Dots,2D-TMD FET,ZnSe-based,Non-Volatile Memory,294.1,1.86,0.5,2.773,0.251,0.557,484.9,2.557,0,-0.083,0.417,9.598,0,0.419
Spintronics Devices,Avalanche Photodiode,MoS2,Terahertz Emission,281.64,2.859,4.737,1.776,0.235,0.149,702.1,1.766,1,-0.191,0.546,14.204,0,0.541
Photoelectric Effect,Quantum Cascade Laser,GaN/AlGaN,Terahertz Emission,312.13,3.068,7.096,3.414,0.313,0.276,301.4,4.114,0,-0.296,0.405,11.273,0,0.938
Schrodinger Cat Paradox,Spintronic MRAM Cell,ZnSe-based,Terahertz Emission,305.96,3.115,1.681,3.042,0.259,0.299,441.3,2.81,0,0.34,0.485,23.443,0,0.594
Quantum Cascade Laser,Avalanche Photodiode,GaAs/AlGaAs,Non-Volatile Memory,297.78,3.162,1.156,1.495,0.189,0.254,836.5,1.482,1,-0.074,0.651,15.174,0,0.187
Quantum Cascade Laser,Avalanche Photodiode,MoS2,Visible LEDs,289.24,4.039,6.132,2.144,0.267,0.404,708.1,1.751,1,-0.017,0.723,26.557,1,0.558
Colloidal Quantum Dots,Avalanche Photodiode,CdSe/CdS QDs,Visible LEDs,319.91,1.914,5.405,1.884,0.334,0.347,731,1.696,1,-0.175,0.392,5.031,0,0.627
Schrodinger Cat Paradox,2D-TMD FET,ZnSe-based,Optical Communication,294.1,3.176,0.5,3.125,0.282,0.315,432.4,2.868,0,0.13,0.509,24.915,0,0.404
k·p Perturbation Theory,QD-Based LCD Pixel,InGaAs/InP,Visible LEDs,292.33,4.29,2.697,0.881,0.159,0.38,1419.3,0.874,1,-0.013,0.636,31.065,1,0.207
Quantum Cascade Laser,2D-TMD FET,GaAs/AlGaAs,Visible LEDs,302.62,1.265,1.548,2.054,0.399,0.302,611.8,2.027,0,0.115,0.299,7.796,0,0.336
Colloidal Quantum Dots,QD-Based LCD Pixel,WSe2,Optical Communication,342.41,3.18,3.55,1.462,0.05,0.618,798.3,1.553,1,-0.037,0.396,12.596,0,0.478
Schrodinger Cat Paradox,2D-TMD FET,CdSe/CdS QDs,Infrared Sensing,266.49,2.415,0.5,1.793,0.255,0.315,604.6,2.051,0,-0.157,0.33,2.647,0,0.23
Photoelectric Effect,Quantum Well Laser,InGaAs/InP,Non-Volatile Memory,319.25,2.629,4.916,0.863,0.238,0.32,1393.5,0.89,1,0.023,0.476,13.901,0,0.347
Photoelectric Effect,2D-TMD FET,InGaAs/InP,Visible LEDs,252.67,2.095,0.5,0.86,0.315,0.129,1440.2,0.861,1,-0.253,0.408,12.162,0,0.072
Single Quantum Well,Quantum Well Laser,MoS2,Terahertz Emission,305.43,2.83,3.666,2.19,0.356,0.246,460.9,2.69,0,0.108,0.472,21.943,0,0.488
k·p Perturbation Theory,Quantum Cascade Laser,MoS2,Visible LEDs,339.38,4.841,5.707,1.666,0.413,0.415,716.9,1.73,1,-0.187,0.509,23.715,1,0.639
Photoelectric Effect,Spintronic MRAM Cell,ZnSe-based,Terahertz Emission,312.22,1.736,1.009,2.981,0.229,0.166,403.6,3.072,0,0.561,0.306,3.45,0,0.658
Single Quantum Well,Quantum Cascade Laser,InGaAs/InP,Non-Volatile Memory,304.27,1.83,3.252,0.974,0.359,0.084,1261.8,0.983,1,-0.068,0.467,6.226,0,0.311
Photoelectric Effect,Quantum Well Laser,CdSe/CdS QDs,Optical Communication,285.99,1.698,5.334,2.211,0.32,0.303,527.6,2.35,0,0.213,0.35,13.137,0,0.71
k·p Perturbation Theory,Avalanche Photodiode,CdSe/CdS QDs,Infrared Sensing,300.78,4.727,5.462,1.712,0.129,0.437,707.3,1.753,1,-0.225,0.633,23.048,1,0.649
Spintronics Devices,QD-Based LCD Pixel,CdSe/CdS QDs,Display Technology,293.7,2.538,4.31,2.422,0.49,0.304,598.1,2.073,0,-0.136,0.449,11.006,0,0.648
Colloidal Quantum Dots,Avalanche Photodiode,GaN/AlGaN,Non-Volatile Memory,280.35,2.974,5.312,3.369,0.156,0.266,401.2,3.091,0,0.076,0.5,23.147,0,0.791
Spintronics Devices,Avalanche Photodiode,ZnSe-based,Infrared Sensing,292.75,2.597,5.622,2.92,0.342,0.114,396.7,3.126,0,0.234,0.33,10.496,0,0.864
Spintronics Devices,2D-TMD FET,CdSe/CdS QDs,Non-Volatile Memory,304.96,2.056,1.366,2.061,0.339,0.345,598.1,2.073,0,0.333,0.389,6.983,0,0.409
Colloidal Quantum Dots,Quantum Well Laser,WSe2,Terahertz Emission,280.82,2.765,4.398,1.745,0.328,0.366,709.1,1.749,1,0.008,0.496,18.641,0,0.353
Photoelectric Effect,2D-TMD FET,ZnSe-based,Visible LEDs,279.84,5.458,1.045,2.784,0.251,0.122,407,3.047,0,0.368,0.623,42.712,1,0.545
k·p Perturbation Theory,2D-TMD FET,InGaAs/InP,Optical Communication,265.99,4.392,0.881,0.896,0.383,0.413,1345.3,0.922,1,-0.058,0.528,21.543,1,0.192
Colloidal Quantum Dots,Spintronic MRAM Cell,ZnSe-based,Infrared Sensing,309.77,2.147,0.5,2.806,0.144,0.377,492.4,2.518,0,0.405,0.339,6.381,0,0.591
Colloidal Quantum Dots,Quantum Well Laser,GaAs/AlGaAs,Terahertz Emission,313.63,3.648,2.567,1.23,0.293,0.413,986.9,1.256,1,-0.188,0.655,30.065,1,0.428
Single Quantum Well,Quantum Well Laser,GaN/AlGaN,Display Technology,305.79,2.168,3.577,2.685,0.244,0.358,407,3.047,0,0.084,0.349,9.579,0,0.668
Colloidal Quantum Dots,Avalanche Photodiode,CdSe/CdS QDs,Terahertz Emission,324.13,1.224,4.362,1.774,0.232,0.365,696.7,1.78,0,-0.468,0.336,8.506,0,0.679
Single Quantum Well,Spintronic MRAM Cell,WSe2,Terahertz Emission,302.2,4.02,1.72,1.744,0.343,0.352,716.7,1.73,1,0.521,0.629,31.17,1,0.499
Photoelectric Effect,Quantum Well Laser,MoS2,Optical Communication,309.8,4.16,3.937,1.795,0.408,0.387,592.3,2.093,0,0.093,0.495,25.991,1,0.36
k·p Perturbation Theory,Quantum Cascade Laser,CdSe/CdS QDs,Infrared Sensing,307.6,4.046,5.505,2.065,0.266,0.118,598.6,2.072,0,-0.262,0.72,35.022,1,0.68
Schrodinger Cat Paradox,Quantum Well Laser,GaN/AlGaN,Optical Communication,297.71,2.53,5.619,3.15,0.378,0.15,437,2.837,0,0.085,0.435,18.934,0,0.683
Photoelectric Effect,Spintronic MRAM Cell,WSe2,Optical Communication,286.73,2.833,0.884,1.575,0.305,0.226,810.1,1.531,1,0.519,0.563,22.482,1,0.424
Spintronics Devices,Quantum Well Laser,ZnSe-based,Terahertz Emission,355.35,3.75,4.892,3.093,0.211,0.287,512.4,2.42,0,-0.1,0.265,7.474,0,0.677
Schrodinger Cat Paradox,QD-Based LCD Pixel,InGaAs/InP,Terahertz Emission,288.7,3.391,2.756,0.76,0.274,0.339,1694.5,0.732,1,-0.194,0.558,20.663,1,0.331
k·p Perturbation Theory,Quantum Well Laser,WSe2,Optical Communication,283.35,2.606,5.983,1.613,0.27,0.332,841.1,1.474,1,-0.095,0.52,13.072,0,0.56
Quantum Cascade Laser,Avalanche Photodiode,MoS2,Display Technology,310.85,1.381,4.954,1.896,0.23,0.412,793.8,1.562,1,-0.193,0.226,0,0,0.639
Photoelectric Effect,Avalanche Photodiode,MoS2,Non-Volatile Memory,306.3,3.114,2.214,1.433,0.343,0.415,903.4,1.373,1,-0.02,0.625,20.967,1,0.084
k·p Perturbation Theory,QD-Based LCD Pixel,GaAs/AlGaAs,Optical Communication,264.88,4.079,3.162,1.242,0.323,0.213,1006.6,1.232,1,0.02,0.601,20.965,1,0.323
Quantum Cascade Laser,Quantum Well Laser,WSe2,Terahertz Emission,328.07,1.802,6.472,1.896,0.141,0.324,702.6,1.765,1,-0.061,0.38,4.833,0,0.701
Schrodinger Cat Paradox,Quantum Cascade Laser,ZnSe-based,Terahertz Emission,297.65,3.639,3.728,2.453,0.135,0.215,477.6,2.596,0,0.335,0.559,26.95,1,0.749
Spintronics Devices,Spintronic MRAM Cell,ZnSe-based,Non-Volatile Memory,272.23,3.332,1.224,3.024,0.342,0.281,415.5,2.984,0,0.483,0.475,22.088,0,0.637
Quantum Cascade Laser,Spintronic MRAM Cell,MoS2,Display Technology,329.72,3.75,1.273,2.102,0.218,0.332,557.5,2.224,0,0.321,0.503,26.818,1,0.531
Photoelectric Effect,QD-Based LCD Pixel,CdSe/CdS QDs,Visible LEDs,315.64,3.872,1.963,1.889,0.33,0.05,676.3,1.834,0,-0.208,0.555,24.515,0,0.399
Colloidal Quantum Dots,QD-Based LCD Pixel,GaAs/AlGaAs,Display Technology,268.39,2.306,3.511,1.458,0.378,0.541,817.7,1.516,1,0.015,0.339,12.395,0,0.356
Single Quantum Well,Quantum Cascade Laser,InGaAs/InP,Visible LEDs,344.43,1.383,1.909,0.968,0.173,0.357,1246.8,0.995,1,0.237,0.31,5.482,0,0.323
Spintronics Devices,QD-Based LCD Pixel,InGaAs/InP,Terahertz Emission,316.47,2.466,2.374,0.73,0.159,0.24,1719.3,0.721,1,0.226,0.501,18.259,0,0.284
k·p Perturbation Theory,Avalanche Photodiode,WSe2,Optical Communication,299.75,3.889,5.614,1.874,0.467,0.493,655,1.893,0,-0.084,0.618,31.155,1,0.515
Spintronics Devices,2D-TMD FET,MoS2,Infrared Sensing,339.76,2.458,1.178,1.666,0.335,0.265,648,1.914,0,0.111,0.374,10.508,0,0.234
Spintronics Devices,Spintronic MRAM Cell,InGaAs/InP,Terahertz Emission,303.98,2.306,0.848,0.728,0.258,0.313,1629.7,0.761,1,0.919,0.484,18.206,0,0.395
Schrodinger Cat Paradox,QD-Based LCD Pixel,MoS2,Infrared Sensing,299.3,1.179,3.446,1.64,0.207,0.251,698.7,1.775,0,-0.108,0.386,3.434,0,0.448
Schrodinger Cat Paradox,2D-TMD FET,MoS2,Infrared Sensing,283.49,4.753,0.97,1.869,0.249,0.465,619.5,2.002,0,0.123,0.665,39.536,1,0.286
Single Quantum Well,QD-Based LCD Pixel,InGaAs/InP,Display Technology,314.55,3.826,3.013,0.974,0.181,0.29,1294.2,0.958,1,0.372,0.69,31.442,1,0.39
Colloidal Quantum Dots,2D-TMD FET,InGaAs/InP,Infrared Sensing,311.92,3.77,1.328,0.772,0.388,0.315,1616.4,0.767,1,0.094,0.67,22.92,1,0.128
Quantum Cascade Laser,Spintronic MRAM Cell,WSe2,Non-Volatile Memory,300.37,3.968,0.636,1.446,0.222,0.42,911,1.361,1,0.66,0.697,34.198,1,0.471
Single Quantum Well,Quantum Well Laser,ZnSe-based,Infrared Sensing,280.25,3.577,4.061,2.583,0.409,0.359,517.6,2.396,0,0.134,0.464,24.848,0,0.628
Colloidal Quantum Dots,Quantum Cascade Laser,GaAs/AlGaAs,Infrared Sensing,303.25,2.756,3.532,1.479,0.26,0.295,892,1.39,1,-0.292,0.502,17.135,0,0.397
Colloidal Quantum Dots,Avalanche Photodiode,MoS2,Terahertz Emission,298.26,2.836,1.622,2.169,0.196,0.411,602.2,2.059,0,0.092,0.511,22.416,0,0.261
k·p Perturbation Theory,2D-TMD FET,CdSe/CdS QDs,Infrared Sensing,266.66,2.572,0.54,2.118,0.257,0.554,595.9,2.081,0,-0.203,0.399,16.804,0,0.386
Single Quantum Well,Avalanche Photodiode,ZnSe-based,Optical Communication,263.2,5.635,6.352,2.723,0.05,0.332,510.4,2.429,0,-0.118,0.503,30.268,1,0.637
Spintronics Devices,Avalanche Photodiode,MoS2,Display Technology,314.13,3.556,4.577,1.953,0.288,0.312,680.8,1.821,0,0.432,0.598,28.758,1,0.694
Spintronics Devices,Avalanche Photodiode,WSe2,Terahertz Emission,234.95,2.536,2.015,1.652,0.283,0.317,769.4,1.612,1,-0.051,0.298,13.833,0,0.409
Quantum Cascade Laser,Spintronic MRAM Cell,InGaAs/InP,Optical Communication,305.14,3.465,0.5,0.743,0.382,0.431,1731.9,0.716,1,0.555,0.611,19.981,0,0.412
Single Quantum Well,Spintronic MRAM Cell,InGaAs/InP,Display Technology,288.05,1.989,0.944,0.656,0.111,0.24,1772.3,0.7,1,0.752,0.369,3.684,0,0.451
Photoelectric Effect,2D-TMD FET,GaAs/AlGaAs,Non-Volatile Memory,332.71,4.505,1.781,1.682,0.416,0.272,722.8,1.715,1,-0.19,0.621,28.013,1,0.392
Schrodinger Cat Paradox,Quantum Cascade Laser,CdSe/CdS QDs,Display Technology,287.66,2.339,3.72,1.238,0.382,0.146,986.1,1.257,1,-0.089,0.476,15.613,0,0.53
Quantum Cascade Laser,Avalanche Photodiode,InGaAs/InP,Optical Communication,316.49,3.501,5.96,0.92,0.425,0.182,1405.9,0.882,1,0.25,0.537,21.192,1,0.387
k·p Perturbation Theory,Quantum Well Laser,InGaAs/InP,Terahertz Emission,290.08,4.066,4.528,0.73,0.295,0.248,1776.2,0.698,1,0.009,0.656,30.189,1,0.301
k·p Perturbation Theory,Quantum Well Laser,CdSe/CdS QDs,Non-Volatile Memory,302.84,3.385,4.707,1.877,0.401,0.294,588.2,2.108,0,-0.312,0.449,13.377,0,0.664
Schrodinger Cat Paradox,Quantum Cascade Laser,InGaAs/InP,Terahertz Emission,318.42,3.094,1.996,1.054,0.153,0.477,1247.2,0.994,1,0.109,0.529,15.929,0,0.226
Spintronics Devices,2D-TMD FET,ZnSe-based,Visible LEDs,288.44,3.011,1.469,2.657,0.371,0.354,408.1,3.039,0,-0.079,0.436,11.797,0,0.478
Photoelectric Effect,Spintronic MRAM Cell,ZnSe-based,Terahertz Emission,324.91,2.944,0.833,2.664,0.223,0.209,408.4,3.036,0,0.694,0.379,19.419,0,0.604
Spintronics Devices,2D-TMD FET,GaAs/AlGaAs,Non-Volatile Memory,275.16,2.423,1.432,1.374,0.135,0.227,890.8,1.392,1,-0.121,0.513,7.39,0,0.265
Single Quantum Well,Quantum Well Laser,GaN/AlGaN,Optical Communication,307.36,2.551,2.779,3.124,0.188,0.437,381,3.255,0,0.21,0.408,10.32,0,0.567
Quantum Cascade Laser,Quantum Well Laser,MoS2,Terahertz Emission,323.07,4.48,4.266,1.712,0.301,0.413,646.5,1.918,0,0.355,0.599,38.153,1,0.539
Colloidal Quantum Dots,2D-TMD FET,GaN/AlGaN,Display Technology,316.5,2.891,1.176,2.528,0.218,0.303,523,2.371,0,-0.17,0.59,25.3,1,0.358
Single Quantum Well,Quantum Well Laser,InGaAs/InP,Infrared Sensing,347.91,2.214,3.769,0.67,0.338,0.256,1884.3,0.658,1,-0.039,0.378,7.569,0,0.308
Colloidal Quantum Dots,Quantum Well Laser,CdSe/CdS QDs,Non-Volatile Memory,280.91,2.484,4.607,2.384,0.119,0.412,572.7,2.165,0,0.078,0.412,15.186,0,0.509
Quantum Cascade Laser,Quantum Cascade Laser,GaN/AlGaN,Visible LEDs,265.52,4.1,3.6,3.022,0.087,0.201,388.6,3.191,0,-0.171,0.434,24.292,0,0.677
k·p Perturbation Theory,2D-TMD FET,CdSe/CdS QDs,Non-Volatile Memory,275.14,3.676,0.675,2.135,0.437,0.339,578.7,2.143,0,0.054,0.507,24.815,0,0.314
Spintronics Devices,QD-Based LCD Pixel,MoS2,Terahertz Emission,316.51,3.56,4.605,1.748,0.39,0.527,708,1.751,1,-0.045,0.587,18.325,0,0.549
Single Quantum Well,Quantum Well Laser,CdSe/CdS QDs,Terahertz Emission,312.45,2.742,5.573,1.802,0.195,0.321,772.5,1.605,1,-0.049,0.429,13.588,0,0.466
Colloidal Quantum Dots,2D-TMD FET,InGaAs/InP,Infrared Sensing,302.56,3.573,0.62,1.052,0.3,0.222,1037.4,1.195,1,0.01,0.551,22.394,1,0.002
Single Quantum Well,2D-TMD FET,GaN/AlGaN,Terahertz Emission,271.93,2.356,1.284,2.944,0.402,0.341,373.4,3.321,0,0.014,0.333,12.757,0,0.387
Quantum Cascade Laser,QD-Based LCD Pixel,WSe2,Visible LEDs,319.17,2.74,2.257,1.611,0.342,0.253,769.8,1.611,1,0.033,0.494,14.858,0,0.5
Photoelectric Effect,2D-TMD FET,InGaAs/InP,Display Technology,269.38,3.97,0.5,0.964,0.315,0.161,1231.5,1.007,1,-0.12,0.573,19.232,0,0.234
Photoelectric Effect,Avalanche Photodiode,MoS2,Display Technology,328.97,3.874,5.551,1.656,0.41,0.37,736.1,1.685,1,-0.111,0.496,21.42,1,0.512
Spintronics Devices,2D-TMD FET,GaAs/AlGaAs,Visible LEDs,371.44,2.018,0.5,1.281,0.227,0.412,961.6,1.289,1,-0.024,0.212,4.024,0,0.174
Schrodinger Cat Paradox,Avalanche Photodiode,GaAs/AlGaAs,Visible LEDs,309.16,2.144,5.39,1.402,0.303,0.269,851.5,1.456,1,-0.009,0.42,7.192,0,0.518
k·p Perturbation Theory,QD-Based LCD Pixel,MoS2,Visible LEDs,314.58,3.109,2.747,1.8,0.298,0.262,692.1,1.792,0,-0.088,0.551,21.896,0,0.283
Colloidal Quantum Dots,Spintronic MRAM Cell,WSe2,Terahertz Emission,287.68,4.726,0.894,1.752,0.273,0.204,739.2,1.677,1,0.655,0.771,37.294,1,0.581
Spintronics Devices,QD-Based LCD Pixel,WSe2,Visible LEDs,254.74,1.084,3.41,2.118,0.261,0.285,573.6,2.162,0,-0.363,0.271,5.855,0,0.56
Colloidal Quantum Dots,Spintronic MRAM Cell,MoS2,Infrared Sensing,284.93,3.278,1.291,1.867,0.307,0.244,641.4,1.933,0,0.737,0.478,20.172,0,0.554
