Synthesis_Method,Gas_Type,Temperature_C,Pressure_torr,Catalyst_FeCoNi_at_pct,Growth_Time_min,Purity_%,SWCNT_Fraction,Diameter_nm,Length_um,Raman_GD,Electrical_Conductivity_Sm,Resistivity_uOhm_cm,Application,EMI_Shielding_dB,Gas_Sensitivity_%,Capacitance_Fg,Failure_Mode,Severity,Occurrence,Detectability,Failure_Label,PhD_Topic
Arc Discharge,Ar,4288.47,422.29,1.72,29.09,75.89,0.291,27.815,508.66,91.1,491200,201.4973,Interconnect,14.66,9.8,36.12,Junction_Breakdown,6,4,3,1,CNT_Interconnects
Laser Ablation,Ar,1229.06,465.27,2.38,69.04,87.33,0.736,0.743,485.37,54.8,875900,109.7931,EMI_Shielding,79.25,3.54,57.33,Pore_Collapse,7,7,5,0,CNT_Synthesis_Optimization
Arc Discharge,Ar,4218.26,376.86,1.64,63.17,74.91,0.391,10.913,1745.1,86.19,583000,175.0012,Energy_Electrode,36.36,0.26,219.02,Pore_Collapse,5,3,8,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1344.3,428.7,2.66,42.87,85.78,0.896,0.749,489.65,93.66,864800,125.327,Biomedical,13.28,25.76,34.75,Pore_Collapse,4,8,2,1,CNT_EMI_Composites
Laser Ablation,Ar,1124.08,510.04,2.92,62.45,86.1,0.615,17.621,1766.63,63.01,719600,154.2022,Interconnect,10.21,3.72,35.08,Thermal_Runaway,5,4,3,0,CNT_Energy_Electrodes
CVD,CO,816.4,272.3,1.14,70.29,91.35,0.45,15.161,1937.59,58.19,799800,117.0883,EMI_Shielding,28.11,8.99,40.78,Electromigration,7,6,3,1,CNT_Interconnects
CVD,CO,718.02,114.76,2.63,73.44,97.93,0.697,8.345,1484.13,73.37,846100,116.747,Biomedical,17.69,13.35,11.77,Matrix_Cracking,8,7,3,1,CNT_Energy_Electrodes
Arc Discharge,He,3504.5,366.15,2.66,65.01,85.93,0.417,12.244,1131.3,144.57,728400,118.4845,Interconnect,1.82,2.46,31.87,Contamination,6,7,4,1,CNT_Energy_Electrodes
CVD,CO,740.97,238.92,1.07,50.37,91.16,0.676,6.535,1242.27,125.98,894200,107.2514,Biomedical,5.29,13.2,59.92,Contamination,4,3,3,0,CNT_Energy_Electrodes
CVD,CH4,743.86,273.02,2.95,25.37,86.62,0.596,21.027,450.66,91.76,860900,112.7269,Energy_Electrode,18.25,9.89,162.99,Electromigration,5,5,8,0,CNT_Energy_Electrodes
CVD,C2H2,722.13,271.93,2.2,76.61,90.12,0.693,5.028,1333.84,69.11,695000,142.2329,Energy_Electrode,34.4,10.38,72.76,Drift_in_Sensitivity,6,4,5,0,CNT_Sensors
Laser Ablation,Ar,1277.35,462.28,1.58,70.13,89.59,0.62,19.164,946.71,118.68,674700,133.1985,Biomedical,23.92,9.8,62.71,Pore_Collapse,5,8,7,1,CNT_Sensors
CVD,C2H2,765.29,169.22,0.89,76.17,87.81,0.756,1.386,1617.68,128.59,710300,166.7798,Interconnect,13.76,6.14,20.43,Matrix_Cracking,5,4,3,0,CNT_EMI_Composites
Arc Discharge,He,4297.56,469.95,0.67,53.44,89.95,0.53,24.132,741.94,74.58,671000,143.8722,Biomedical,12.04,29.05,44.65,Thermal_Runaway,7,6,2,1,CNT_Sensors
CVD,CO,679.3,314.31,0.54,41.03,85.76,0.593,21.601,1949.4,65.76,776700,107.7118,Sensor,27.6,53.13,24.31,Contamination,5,2,6,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1242.23,426.73,0.97,69.95,86.06,0.715,0.857,717.55,101.98,829000,132.6885,Interconnect,15.03,2.87,35.56,Electromigration,5,7,3,1,CNT_Sensors
Laser Ablation,Ar,1224.77,419.28,2.68,70.23,85.65,0.741,0.872,1680.96,125.92,840100,102.0785,Sensor,5.81,21.03,54.71,Thermal_Runaway,9,2,3,1,CNT_Synthesis_Optimization
CVD,CO,690.15,308.23,2.22,35.25,85.7,0.526,24.576,685.52,99.09,750100,149.3533,Sensor,18.98,57.03,12.56,Electromigration,4,6,6,0,CNT_Energy_Electrodes
CVD,CH4,858.95,168.51,1.8,55.4,87.58,0.469,3.852,917.25,81.65,630200,164.3089,Biomedical,11.78,38.57,32.9,Electromigration,8,2,7,1,CNT_Interconnects
Arc Discharge,He,3914.26,206.56,2.68,87.36,75.23,0.296,27.467,196.77,63.72,412400,283.488,Energy_Electrode,21.72,7.46,226.95,Junction_Breakdown,4,3,6,1,CNT_EMI_Composites
CVD,CO,700.06,254.51,1.85,44.55,87.47,0.538,23.677,913.13,53.6,662500,170.3202,Energy_Electrode,23.26,10.61,282.75,Thermal_Runaway,5,3,4,0,CNT_Sensors
Laser Ablation,Ar,1123.23,564.51,2.25,62.29,89.63,0.842,0.721,133.67,85.41,723200,146.2092,Biomedical,22.32,36.11,49.06,Thermal_Runaway,8,5,3,1,CNT_Interconnects
Arc Discharge,He,3831.6,435.96,0.82,81.88,84.02,0.521,10.765,717.47,126.42,661200,132.5875,Sensor,26.46,39.39,41.15,Junction_Breakdown,6,6,4,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1164.27,444.33,2.18,51.36,89.94,0.706,1.784,868.19,73.49,721800,163.2908,Sensor,13.26,41.54,39.33,Thermal_Runaway,6,2,4,0,CNT_Synthesis_Optimization
CVD,C2H2,696.09,267.17,2.01,26.65,89.64,0.588,5.159,662.73,144.58,720000,123.3626,Energy_Electrode,37.79,3.75,170.21,Drift_in_Sensitivity,4,6,6,0,CNT_Synthesis_Optimization
Arc Discharge,He,4279.6,496.63,2.76,55.13,80.13,0.248,29.656,1849.75,137.1,617800,165.1397,Interconnect,13.08,6.81,39.9,Junction_Breakdown,5,7,7,1,CNT_Interconnects
Laser Ablation,Ar,1147.47,580.62,2.05,33.16,85.32,0.835,1.499,488.52,142.53,949100,85.5933,Sensor,6.55,72.94,37.4,Electromigration,5,2,5,0,CNT_Sensors
CVD,C2H2,629.03,337.39,1.88,45.12,91.67,0.46,5.979,989.32,116.21,744000,136.9947,EMI_Shielding,59.37,4.25,54.75,Electromigration,7,5,8,1,CNT_Sensors
Laser Ablation,Ar,1105.92,562.3,1.74,51.8,88.68,0.762,1.518,594.17,128.86,755900,112.2962,Biomedical,16.24,20.24,37.75,Matrix_Cracking,8,3,3,1,CNT_Interconnects
Laser Ablation,Ar,1221.85,570.69,0.89,38.19,86.43,0.603,17.029,1097.66,55.98,619500,130.4998,Energy_Electrode,39.41,16.47,186.13,Matrix_Cracking,8,3,4,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1085.23,443.84,2.1,59.73,85.24,0.617,16.363,1814.53,44.67,618300,173.2533,Interconnect,9.62,8.21,12.74,Drift_in_Sensitivity,4,6,5,1,CNT_Energy_Electrodes
CVD,C2H2,730.95,204,1.91,97.28,98.61,0.615,24.828,1758.43,84.07,828500,137.525,Biomedical,10.46,19.42,43.44,Drift_in_Sensitivity,8,8,4,0,CNT_Synthesis_Optimization
Arc Discharge,Ar,4425.34,336.83,0.73,73.38,88.85,0.435,6.789,227.47,106.79,659500,152.1041,Biomedical,10.21,26.17,32.1,Thermal_Runaway,4,6,8,1,CNT_Energy_Electrodes
CVD,CO,742.21,291.02,2.58,85.75,92.1,0.763,0.841,472.06,148.5,902600,91.854,Biomedical,14.54,29.82,32.04,Electromigration,6,7,2,0,CNT_Energy_Electrodes
CVD,CH4,670.14,148.29,0.61,51.8,92.32,0.535,28.752,1563.19,67.02,598700,175.3942,EMI_Shielding,46.92,7.51,59.73,Junction_Breakdown,4,2,3,0,CNT_Interconnects
Arc Discharge,He,3770.03,322.46,0.89,49.97,74,0.473,14.613,778.45,47.19,580700,150.1294,Biomedical,17.41,7.37,26.32,Drift_in_Sensitivity,4,3,2,1,CNT_EMI_Composites
CVD,CO,639.52,376.19,1.65,50.14,96.06,0.414,28.899,201.37,138.82,669000,144.8263,EMI_Shielding,20.54,9.51,36.23,Drift_in_Sensitivity,5,8,6,1,CNT_EMI_Composites
Laser Ablation,Ar,1169.79,563.42,1,64.19,88.23,0.799,0.722,1235.03,79.53,693600,121.3686,Sensor,16.08,85.93,55.27,Electromigration,8,4,5,0,CNT_EMI_Composites
Arc Discharge,He,4034.99,239.48,0.98,42.87,79.21,0.238,26.391,221.05,50.49,471200,217.1608,Interconnect,10.81,8.75,24.57,Pore_Collapse,8,5,3,0,CNT_Interconnects
Laser Ablation,Ar,1156.47,595.66,2.62,87.08,88.39,0.891,1.559,696.2,115.18,919500,125.2143,Sensor,14.56,25.64,47.22,Junction_Breakdown,5,8,2,0,CNT_Synthesis_Optimization
Arc Discharge,Ar,4414.69,219.24,1.45,65.26,82.66,0.229,22.3,57.9,112.25,465800,199.8622,Sensor,22.98,24.21,53.05,Electromigration,5,6,8,0,CNT_EMI_Composites
Laser Ablation,Ar,1236.33,505.7,1.92,58.32,85.74,0.878,1.247,622.76,129.36,752900,141.3715,Interconnect,3.65,6.84,16.78,Thermal_Runaway,5,5,7,0,CNT_EMI_Composites
Laser Ablation,Ar,1102.32,492.32,0.98,96.75,88.14,0.679,28.925,1014.31,135.8,799400,113.8579,Energy_Electrode,30.47,15.98,265.57,Junction_Breakdown,8,5,6,0,CNT_Synthesis_Optimization
Arc Discharge,He,4420.91,476.74,1.69,39.95,70.08,0.314,19.332,1338.27,110.02,458200,204.3028,Sensor,26.88,43.49,15.74,Junction_Breakdown,7,6,6,1,CNT_Interconnects
Laser Ablation,Ar,1149.63,529.42,1.41,71.38,89.05,0.855,1.292,522.5,142.64,900500,123.0917,EMI_Shielding,67.66,9.74,65.12,Contamination,5,6,4,0,CNT_EMI_Composites
Arc Discharge,He,4340.65,307.34,0.61,53.32,89.63,0.568,1.855,925.92,110.31,789100,129.1181,Sensor,14.35,11.38,5.43,Thermal_Runaway,6,2,8,1,CNT_Sensors
Arc Discharge,Ar,3671.06,370.96,0.56,47.37,86.18,0.404,14.998,424.01,141.16,643900,154.4876,Energy_Electrode,22.59,11.91,71.39,Matrix_Cracking,4,8,4,0,CNT_Interconnects
Arc Discharge,Ar,3959.47,328.26,2.59,63.77,71.78,0.451,6.131,33.27,104.27,633400,162.8068,Energy_Electrode,29.64,12.86,139.31,Thermal_Runaway,9,4,6,0,CNT_Energy_Electrodes
CVD,CH4,695.71,211.11,1.32,34.37,92.58,0.48,25.098,33.01,113.69,803500,138.842,Energy_Electrode,26.7,10.24,288.05,Junction_Breakdown,4,4,4,0,CNT_EMI_Composites
Arc Discharge,Ar,4234.6,267.93,2.22,37.76,85.4,0.22,10.017,315.46,129.84,450500,261.0606,Energy_Electrode,17.05,13.6,102.77,Thermal_Runaway,4,7,4,1,CNT_Synthesis_Optimization
Arc Discharge,He,4199.6,344.14,2.7,71.61,83.19,0.376,25.527,1094.84,116.02,670000,151.7777,EMI_Shielding,36.6,7.72,74.64,Pore_Collapse,8,5,2,1,CNT_EMI_Composites
Arc Discharge,Ar,3939.97,387.56,1.32,47.97,76.47,0.416,28.983,1812,42.38,564200,149.5712,EMI_Shielding,27.47,4.16,75.49,Drift_in_Sensitivity,6,8,4,0,CNT_Interconnects
CVD,C2H2,761.65,239.84,2.44,53.4,95.73,0.734,1.265,1798.78,78.59,924600,108.6477,Sensor,6.02,33.14,19.87,Drift_in_Sensitivity,9,8,7,1,CNT_Interconnects
Laser Ablation,Ar,1095.71,523.27,0.63,91.74,87.75,0.652,9.014,1101.19,115.21,859300,101.1284,Sensor,17.76,85.65,7.53,Pore_Collapse,5,6,7,0,CNT_Interconnects
Laser Ablation,Ar,1207.25,567.71,1.9,54.11,88.17,0.725,1.663,233.6,55.07,806400,100.9662,Energy_Electrode,25.4,3.68,129.52,Pore_Collapse,6,7,3,0,CNT_Energy_Electrodes
CVD,C2H2,718.43,138.31,1.58,74.25,98.8,0.795,1.135,1408.72,68.42,787200,122.3941,Sensor,13.58,56.47,25.4,Matrix_Cracking,4,8,2,1,CNT_EMI_Composites
Laser Ablation,Ar,1069.28,523.11,1.37,78.48,88.12,0.709,1.916,500.84,81.77,683400,155.0743,Biomedical,12.51,15.99,47.48,Thermal_Runaway,5,7,5,0,CNT_Sensors
Laser Ablation,Ar,1036.17,546.47,0.84,43.94,86.35,0.786,1.26,1729.34,48.29,766100,144.7354,Interconnect,7.66,0.55,28.63,Electromigration,7,7,7,1,CNT_EMI_Composites
Laser Ablation,Ar,1121.27,465.65,2.08,33.52,88.03,0.691,3.251,1865.19,78.62,760300,153.052,Biomedical,24.27,17.9,78.2,Contamination,6,2,5,0,CNT_Sensors
Arc Discharge,Ar,3912.5,274.94,1.33,52.5,71.14,0.238,18.53,1574.27,90.96,484200,174.6946,Interconnect,14.4,8.65,9.38,Pore_Collapse,7,5,5,1,CNT_Interconnects
CVD,CO,694.51,278.78,2.78,60.71,98.12,0.415,26.04,292.37,129.98,756500,146.0331,Sensor,7.77,21.76,56.31,Contamination,7,2,5,1,CNT_Energy_Electrodes
Arc Discharge,He,4297.44,217.25,2.62,25.81,72.21,0.268,29.103,479.52,67.28,460600,234.8814,Interconnect,14.18,8.54,21.36,Matrix_Cracking,8,3,8,0,CNT_Energy_Electrodes
CVD,CO,829.59,366.81,0.84,45.85,94.62,0.424,14.679,710.25,84.9,580200,179.9526,Biomedical,23.71,9.1,7.25,Drift_in_Sensitivity,5,3,5,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1119.48,417.56,0.72,52.58,89.46,0.646,18.124,152.37,126.63,806200,142.4196,EMI_Shielding,22.81,6.03,74.88,Pore_Collapse,7,4,6,0,CNT_EMI_Composites
Arc Discharge,He,3859.57,346.13,0.51,79.38,75.83,0.294,27.585,993.68,149.28,485500,221.9181,Sensor,19.68,48.39,56.03,Junction_Breakdown,8,5,8,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1187.84,594.19,1.88,48.48,88.68,0.85,1.107,1515.88,108.12,970400,93.2678,Sensor,5.2,30,17.25,Thermal_Runaway,6,2,8,0,CNT_Interconnects
CVD,CH4,705.33,263.67,2.77,44.51,90.73,0.584,14.712,663.25,102.91,779700,147.1246,EMI_Shielding,71.73,8.14,5.25,Matrix_Cracking,8,4,3,0,CNT_Synthesis_Optimization
CVD,C2H2,781,376.07,2.83,31.04,95.42,0.523,17.226,1880.57,68.37,614400,158.5311,Biomedical,7.72,6.04,74.38,Pore_Collapse,7,6,8,1,CNT_EMI_Composites
CVD,C2H2,731.71,392.55,2.61,48.08,97.03,0.433,8.04,1964.51,121.24,818300,110.6162,Biomedical,17.89,36.83,71.11,Pore_Collapse,4,6,5,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1152.54,503.62,1.27,66.12,88.06,0.744,1.045,1615.84,103.33,746100,152.6735,Biomedical,8.48,5.01,60.27,Junction_Breakdown,9,4,4,1,CNT_Interconnects
Laser Ablation,Ar,1112.58,509.49,2.69,52.25,88.66,0.649,16.905,1005.39,135.7,743900,116.4104,Biomedical,9.42,23.28,32.25,Drift_in_Sensitivity,6,8,2,0,CNT_Energy_Electrodes
CVD,CO,737.71,346.78,2.79,53.62,97.3,0.608,19.612,264.47,65.34,760300,151.0393,Biomedical,10.83,14.24,32.12,Matrix_Cracking,9,5,2,0,CNT_Interconnects
Arc Discharge,He,4282.34,280.33,1.01,73.31,77.95,0.341,14.412,774.74,132.39,459200,227.8199,Sensor,28.95,38.6,37.41,Electromigration,6,5,6,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1123.59,542.11,0.99,84.36,89.82,0.661,28.243,772.41,123.34,839600,115.3377,Sensor,22.4,23.97,46.5,Thermal_Runaway,9,7,3,1,CNT_EMI_Composites
Arc Discharge,Ar,4271.03,225.85,1.56,69.07,74.89,0.262,23.261,226.01,56.42,434200,265.3918,Interconnect,17.01,1.49,38.4,Drift_in_Sensitivity,6,5,4,1,CNT_EMI_Composites
Arc Discharge,Ar,3844.02,439.39,1.93,70.22,89.08,0.41,9.104,580.87,85.65,590200,186.894,Interconnect,4.65,9.81,7.23,Electromigration,4,5,3,0,CNT_Interconnects
Laser Ablation,Ar,1198.38,526.32,1.92,60.47,85.8,0.639,17.326,271.99,51.76,864600,134.8692,Energy_Electrode,22.01,16.45,173.94,Pore_Collapse,7,6,7,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1265.13,423.37,2.71,41.93,86.33,0.848,1.444,1131.36,85.28,912400,125.1109,Biomedical,18.86,32.63,63.56,Drift_in_Sensitivity,8,6,6,1,CNT_Synthesis_Optimization
Arc Discharge,Ar,4154.14,239,2.85,81.58,84.9,0.258,3.17,1592.59,91.05,522100,163.6079,Interconnect,4.71,3.05,24.48,Thermal_Runaway,4,2,5,1,CNT_Interconnects
Arc Discharge,Ar,3696.33,360.66,0.71,60.11,70.38,0.303,21.151,1483.05,102.23,430900,251.7727,EMI_Shielding,21.9,7.66,37.89,Matrix_Cracking,8,2,7,1,CNT_Interconnects
Laser Ablation,Ar,1032.45,439.62,1.64,69.32,87.07,0.719,1.648,313.86,60.17,888700,107.1273,Sensor,5.96,49.73,16.64,Matrix_Cracking,6,8,4,0,CNT_Interconnects
CVD,CO,719.38,340.99,1.55,91.74,93.24,0.485,27.264,635.71,133.43,819200,142.2944,Sensor,10.17,63.4,47.87,Junction_Breakdown,8,6,8,1,CNT_Sensors
CVD,C2H2,776.94,235.76,1.52,52.21,98.81,0.462,27.452,1578.91,105.6,623400,156.3703,Interconnect,18.89,4.19,25.66,Pore_Collapse,5,4,4,1,CNT_Energy_Electrodes
Arc Discharge,Ar,4084.17,338.82,2.76,75.51,70.67,0.293,16.639,1034.65,56.95,458800,257.7015,Interconnect,2.38,5.95,32.03,Matrix_Cracking,8,7,5,1,CNT_Energy_Electrodes
Arc Discharge,He,3857.28,294.21,2.68,51.15,81.35,0.462,19.568,113.47,49.87,748800,144.0782,Sensor,28.27,48.7,24.09,Matrix_Cracking,5,5,8,1,CNT_Synthesis_Optimization
Arc Discharge,He,3677.06,291.24,2.86,24.25,88.55,0.463,12.134,1508.18,57.49,614200,155.1375,Energy_Electrode,31.82,0.83,238.19,Drift_in_Sensitivity,8,7,2,1,CNT_EMI_Composites
Laser Ablation,Ar,1193.53,558.48,1.27,50.69,85.2,0.752,1.671,788.69,140.5,868100,127.152,Energy_Electrode,38.68,2.7,191.5,Thermal_Runaway,5,8,4,0,CNT_Energy_Electrodes
CVD,CO,694.98,364.32,2.08,80.65,96.01,0.416,22.76,538.99,49.71,601700,198.263,Energy_Electrode,26.14,15.77,238.51,Contamination,6,3,8,1,CNT_Synthesis_Optimization
CVD,CH4,712.19,368.88,0.92,43.21,98.92,0.556,9.376,1798.09,48.36,730300,122.9869,Energy_Electrode,15.57,19.87,50.75,Drift_in_Sensitivity,4,8,6,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1325.54,422.21,2.43,71.35,85.82,0.708,0.769,1021.89,110.85,756600,122.8099,Energy_Electrode,38.65,19.19,256.76,Pore_Collapse,5,3,2,1,CNT_Interconnects
Laser Ablation,Ar,1248.4,457.17,0.78,74.26,88.26,0.838,0.837,356.84,47.85,745000,160.3518,Biomedical,13.06,19.58,12.71,Contamination,8,6,3,1,CNT_Sensors
Laser Ablation,Ar,1213.64,573.62,1.6,58.65,87.68,0.626,19.703,1883.07,67.34,631700,138.3985,Interconnect,5.52,5.87,32.7,Junction_Breakdown,7,7,8,1,CNT_Synthesis_Optimization
Arc Discharge,He,4021.42,353.39,1.04,42.91,74.37,0.342,25.06,1549.98,103.75,494400,213.1056,Biomedical,11.63,37.98,12.97,Electromigration,6,5,6,1,CNT_Synthesis_Optimization
CVD,C2H2,705.16,318.43,2.9,43.11,98.82,0.575,7.035,840.87,117.15,751500,135.3639,Sensor,7.32,77,32.5,Junction_Breakdown,8,6,5,1,CNT_Energy_Electrodes
Arc Discharge,He,4023.06,463.08,1.09,68.41,77.73,0.258,23.704,29.23,101.3,602500,198.3199,Interconnect,7.14,1.51,25.64,Pore_Collapse,4,2,6,0,CNT_EMI_Composites
Laser Ablation,Ar,1204.64,587.67,0.75,68.36,86.08,0.844,0.98,833.03,145.33,792600,117.8995,Biomedical,6.74,33.38,43.17,Drift_in_Sensitivity,8,5,2,0,CNT_Energy_Electrodes
CVD,CH4,698.43,176.7,2.77,52.29,95.12,0.442,21.884,691.09,45.36,763700,108.9212,Sensor,10.02,10.52,24.19,Drift_in_Sensitivity,7,7,3,1,CNT_EMI_Composites
Laser Ablation,Ar,1163.26,533.98,1.06,73.04,85.52,0.684,23.281,258.03,61.18,880800,120.3042,Interconnect,2.43,3.07,15,Contamination,8,8,4,0,CNT_EMI_Composites
Arc Discharge,Ar,3764.57,234.08,0.74,69.74,83.19,0.518,2.428,1458.1,68.64,688100,142.7048,EMI_Shielding,55.97,3.37,31.17,Matrix_Cracking,4,8,6,1,CNT_EMI_Composites
CVD,CH4,753.9,309.85,0.69,72.15,88.03,0.57,8.13,870.18,70.84,661400,152.0618,Sensor,24.27,72.36,48.38,Thermal_Runaway,6,6,8,0,CNT_Energy_Electrodes
CVD,C2H2,762.77,325.63,2.08,102.06,91.08,0.723,0.816,1212.21,95.76,890600,119.4106,Sensor,13.23,88,17.96,Thermal_Runaway,6,8,7,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1102.04,575.3,1.44,23.44,88.14,0.835,1.919,98.16,65.96,865600,138.6091,Interconnect,8.4,0.21,34.85,Drift_in_Sensitivity,5,2,7,0,CNT_Sensors
CVD,CO,664.26,373.83,2.95,80.29,85.88,0.641,20.496,1593.8,103.45,776100,113.8459,Sensor,6.58,62.16,16.88,Pore_Collapse,7,3,2,0,CNT_Interconnects
CVD,C2H2,738.62,367.52,1.25,73.76,87.15,0.507,11.369,1349.05,137.85,773400,120.0688,EMI_Shielding,76.35,5.07,64.19,Junction_Breakdown,9,4,7,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1178.83,452.54,1.34,63.94,85.67,0.803,1.257,818.42,115.68,940000,117.4369,Energy_Electrode,30.21,7.37,201.44,Junction_Breakdown,4,6,6,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1086.71,574.2,2.65,74.64,86.61,0.83,1.434,1810.16,134.02,937100,107.6683,Energy_Electrode,27.7,1.66,287.66,Contamination,9,3,4,1,CNT_Interconnects
Laser Ablation,Ar,1111.32,515.41,1.28,31.38,86.73,0.779,1.523,1750.37,66.65,969900,106.8219,Interconnect,8.07,2.4,20.94,Contamination,5,5,7,1,CNT_Interconnects
Laser Ablation,Ar,1187.61,494.08,0.63,72.42,87.25,0.874,1.357,224.47,50.65,965900,102.108,Sensor,28.4,16.44,39.94,Thermal_Runaway,7,4,8,0,CNT_Interconnects
Arc Discharge,Ar,3628.51,267.04,0.64,44.64,77.12,0.558,8.27,1717.46,116.47,657300,178.8326,Interconnect,6.43,4.34,17.37,Matrix_Cracking,8,8,2,1,CNT_Interconnects
Arc Discharge,Ar,4092.85,411.39,0.71,44.37,74.56,0.441,10.115,762.64,120.71,649700,165.6661,Interconnect,8.86,4.09,16.42,Drift_in_Sensitivity,4,2,3,0,CNT_Synthesis_Optimization
CVD,CO,625.81,357.52,2.56,72.6,93.7,0.777,1.423,607.01,44.7,766200,110.6486,Energy_Electrode,18.92,19.06,140.78,Junction_Breakdown,4,8,2,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1237.04,587.48,0.86,34.07,89.11,0.895,1.198,1064.79,112.94,853300,106.6996,Energy_Electrode,37.32,2.58,234.78,Matrix_Cracking,4,7,7,0,CNT_EMI_Composites
Arc Discharge,Ar,3747.59,266.23,1.6,59.39,75.41,0.583,22.974,1969.08,136.59,519200,157.9958,Biomedical,24.63,12.27,25.38,Thermal_Runaway,6,2,2,1,CNT_Energy_Electrodes
Arc Discharge,Ar,4111.2,298.68,1.26,54.65,85.62,0.403,17.084,816.23,149.87,621400,170.1532,EMI_Shielding,65.59,2.37,20.35,Junction_Breakdown,5,5,3,0,CNT_Energy_Electrodes
CVD,C2H2,694.78,137.97,2.57,25.65,86.25,0.632,25.952,36.47,108.75,836000,104.1166,Energy_Electrode,24.99,17.28,111.64,Matrix_Cracking,9,7,2,0,CNT_Sensors
CVD,CH4,739.13,263.98,2.92,59.99,86.57,0.75,0.763,1302.26,130.84,921900,116.2323,EMI_Shielding,30.51,5.37,17.96,Thermal_Runaway,6,8,8,1,CNT_Energy_Electrodes
CVD,CH4,768.4,209.41,2.51,72.57,98.06,0.768,0.954,881.91,62.91,1067000,100.2139,EMI_Shielding,23.79,9.99,28.55,Junction_Breakdown,5,6,8,0,CNT_Energy_Electrodes
Arc Discharge,He,4168.51,327.66,1.98,75.76,86.75,0.304,27.316,528.08,124.89,660500,125.5319,Interconnect,19.86,9.54,39.91,Thermal_Runaway,5,8,2,1,CNT_Synthesis_Optimization
CVD,CO,702.71,382.75,0.86,45.15,87.26,0.691,20.706,837.55,142.66,820000,116.3667,Biomedical,6.49,23.24,16.8,Matrix_Cracking,8,5,2,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1194.21,443.6,2.19,64.43,87.32,0.795,1.89,451.63,48.63,820500,121.9309,Biomedical,23.86,23.76,48.67,Pore_Collapse,7,3,5,0,CNT_Sensors
Arc Discharge,Ar,4306.07,202.28,1.33,51.48,81.69,0.524,21.838,661.02,45.86,781300,146.4474,Biomedical,14.55,25.57,31.44,Electromigration,6,4,7,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1260.22,452.22,1.91,77.22,89.29,0.682,6.058,468.65,71.99,770500,135.9943,Biomedical,24.89,22.57,8.96,Contamination,8,2,6,1,CNT_Energy_Electrodes
Arc Discharge,He,4242.23,335.66,0.78,58.37,88.51,0.226,23.475,1715.03,146.26,571300,177.6531,Energy_Electrode,17.49,0.68,155.97,Electromigration,6,2,6,1,CNT_Interconnects
CVD,C2H2,653.9,311.5,0.55,51.53,96.98,0.773,1.72,1370.64,69.62,1060000,96.6305,Sensor,18.89,28.8,21.11,Junction_Breakdown,8,4,2,1,CNT_Energy_Electrodes
Arc Discharge,He,3961.48,354.41,1.98,28.75,80.71,0.292,26.777,700.77,76.83,443400,238.68,Energy_Electrode,14.38,17.45,241.93,Junction_Breakdown,6,6,8,0,CNT_Sensors
Laser Ablation,Ar,1084.9,486.25,1.16,87.28,85.17,0.791,1.38,1489.6,70.43,730500,136.6632,EMI_Shielding,42.82,9.74,76.6,Pore_Collapse,9,3,4,0,CNT_EMI_Composites
Arc Discharge,Ar,3885.22,378.23,0.69,29.15,88.28,0.502,25.99,1050.46,128.29,558500,182.537,Biomedical,17.45,22.36,69.9,Electromigration,9,5,6,0,CNT_EMI_Composites
CVD,C2H2,698.58,233.47,1.18,19.73,98.02,0.401,28.892,321.81,79.17,580700,161.1982,Sensor,24.46,21.24,30.6,Electromigration,4,6,3,0,CNT_Energy_Electrodes
Arc Discharge,Ar,4284.27,211.55,2.54,63.94,83.29,0.565,19.202,988.39,64.18,697000,170.6813,Energy_Electrode,31.9,6.13,192.46,Drift_in_Sensitivity,5,4,2,1,CNT_Sensors
CVD,C2H2,706.39,212.28,0.66,16.61,96.35,0.602,9.941,347.05,91.62,933700,95.0961,Energy_Electrode,22.11,3.64,297.48,Pore_Collapse,6,4,7,0,CNT_Synthesis_Optimization
Arc Discharge,He,3937.86,446.95,0.97,56.16,85.36,0.203,26.622,1979.03,79.17,631500,175.1351,Biomedical,21.76,28.52,71.36,Drift_in_Sensitivity,5,5,6,1,CNT_Sensors
CVD,C2H2,589.71,270.06,1.51,47.3,85.26,0.621,2.494,1459.21,54.75,631500,172.224,EMI_Shielding,67.22,6.63,74.02,Pore_Collapse,6,4,5,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1113.97,477.38,1.49,75.68,87.83,0.85,1.621,1129.33,75.9,841200,109.6906,Energy_Electrode,10.12,2.78,189.08,Matrix_Cracking,8,2,4,1,CNT_Synthesis_Optimization
